Id,UserId,Name,StockSource,ScheduledTime,SelectionReasoning,LastRunDate,EntryPrice,StopLoss,TargetPrice,AnalysisReasoning,TriggerCondition,Type,Quantity,AllocationLimit,TotalAmount,MaxStocks,EndTime,MinVolatility,MaxVolatility,UseVolatilityForSlTgt,IsActive,CreatedAt,UseConfidence,MinConfidence,SquareOffAtEndTime,MinProfitBooking,CheckVolumeSurge,VolumeSurgeRatio,CheckBreakout,Timeframe,LookbackPeriod,UseChartAnalyser,AnalysisDuration,PredictSlAndTarget,WatchlistGroup
1bbbd5b3-4253-4040-8c73-fee6161f41d9,00001,"Short-Intraday",losers,09:00,"",2026-03-24T09:37:03.8657926+05:30,1,0.3,0.57,"",Immediate,Sell,,5000,200000,20,23:59,1.5,5,True,False,2026-03-23T18:47:03.4274575+05:30,True,70,False,,False,1.5,False,1m,20,False,60,False,
c37fdb8e-b0aa-422b-a0fa-b3d66bbf0a91,00001,"Intraday-Crypto",watchlist,00:02,"",2026-04-19T11:54:41.1042551+05:30,1,0.3,0.57,"",Immediate,Buy,,10000000,1000000000,20,23:59,,6.97,True,True,2026-04-04T12:02:08.7441827+05:30,True,70,True,,False,1.5,False,1m,20,True,600,True,Crypto
30cd8d9d-56a0-4b60-8dd2-38b4b2c266d8,00001,"Intraday-BreakOut",watchlist,10:30,"",2026-04-19T11:54:41.1042551+05:30,1,0.3,0.57,"",Immediate,Buy,,15000,200000,20,23:59,1.5,6.97,True,True,2026-03-21T19:29:55.3900172+05:30,True,70,True,,False,1.5,False,1m,20,True,600,True,My wishlist
